"2018-12-06 03:30:42,b'RT @alfrendoasis: Apa yang di maksud orang tsb? Kalo anda mau perang bilang aja. Astaga kibarkan bendera tauhid = perang ! Viralkan orang t\xe2\x80\xa6'";
"2018-12-06 03:30:06,b'RT @alfrendoasis: Apa yang di maksud orang tsb? Kalo anda mau perang bilang aja. Astaga kibarkan bendera tauhid = perang ! Viralkan orang t\xe2\x80\xa6'";
"2018-12-06 03:29:22,b'@ernestprakasa Semoga tidak ada oknum yang bersembunyi di lembaga-lembaga pemerintah yang berniat mengganti Dasar N\xe2\x80\xa6 https://t.co/edlkZt4u7D'";
"2018-12-06 03:29:19,b'RT @alfrendoasis: Apa yang di maksud orang tsb? Kalo anda mau perang bilang aja. Astaga kibarkan bendera tauhid = perang ! Viralkan orang t\xe2\x80\xa6'";
"2018-12-06 03:28:30,""b'@DivHumas_Polri @PolriMultimedia Di mulai dr diri kalian sendiri. Msh byk to trjd d jalan2 raya,saat ada pawai ato\xe2\x80\xa6 https://t.co/ygBvHlQMn9'""";
"2018-12-06 03:25:02,""b'RT @Airin_NZ: Saya terkadang bingung dgn @DivHumas_Polri kenapa soal kasus Ahok begitu cepat..\n\nTapi soal kasus Ratna Sarumpaet, Buni Yani,\xe2\x80\xa6'""";
"2018-12-06 03:24:43,b'@Engka_Kaoy @Airin_NZ @DivHumas_Polri Buni yani..msh bebas ya..kurang tau ini.\n@DivHumas_Polri'";
"2018-12-06 03:23:51,""b'@bund4rr @InIndia0nly @CrazyinINA Cc @humasrestaska @DivHumas_Polri polisi India kualitasnya seperti itu, ayo polri! #hanyaTwitKocak \xf0\x9f\x98\x82'""";
"2018-12-06 03:22:50,b'@KyaiMblebes @DivHumas_Polri @her_alone @ustadtengkuzul \nSantai saat pengamanan 212.\nAlhamdulilah tidak perlu berte\xe2\x80\xa6 https://t.co/ksvjzOAymH'";
"2018-12-06 03:21:43,b'RT @DivHumas_Polri: Pemuda Milenial Anti Hoax\n\nMari Kita Wujudkan Pileg dan Pilpres 2019 Aman Damai dan Sejuk\n\n#PolriPromoter #PolriHumanis\xe2\x80\xa6'";
"2018-12-06 03:19:41,b'Dipastikan ada WNI yg berkhianat thdp NKRI  @jokowi  hrs perintahkan polisi  @DivHumas_Polri  utk cari siapa mrk..? https://t.co/m9nX7jABZe'";
"2018-12-06 03:19:06,b'RT @DivHumas_Polri: Bukit Parang Endong merupakan Wisata Jogja yang menyuguhkan wisata sunset dari sebuah bukit yang lokasinya di sebelah t\xe2\x80\xa6'";
"2018-12-06 03:19:00,b'@AndiArief__ Memang kita akan diam bro @SBYudhoyono ada pemberontakan yg di motori dan di panas panasi oleh\xe2\x80\xa6 https://t.co/FbsZSwHsXM'";
"2018-12-06 03:17:43,b'@fransiscusario @ybudi55 @ezzyrehym @ARYA_DIM45_ @WahhabiCC @DivHumas_Polri Di alam gaib\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'";
"2018-12-06 03:17:40,b'RT @DivHumas_Polri: Mamberikan Edukasi Tertib Berlalu Lintas Kepada Masyarakat\n\n#PolriPromoter #PolriHumanis @PolriMultimedia https://t.co/\xe2\x80\xa6'";
"2018-12-06 03:17:36,b'Apa yang di maksud orang tsb? Kalo anda mau perang bilang aja. Astaga kibarkan bendera tauhid = perang ! Viralkan o\xe2\x80\xa6 https://t.co/dcWjxYcV62'";
"2018-12-06 03:17:35,b'RT @PolriMultimedia: Selamat Pagi Sobat Polri\n\n#PolriPromoter \n#PolriHumanis #ThinkBeforePosting @DivHumas_Polri https://t.co/p28w8tBSmm'";
"2018-12-06 03:17:31,b'RT @DivHumas_Polri: Polri : Reuni 212 Berjalan Kondusif\n\n#PolriPromoter #PolriHumanis @PolriMultimedia https://t.co/dxWUJk96g5'";
"2018-12-06 03:17:29,b'RT @PolriMultimedia: Jaga Rambu - Rambu Lalu Lintas Dijalan Yaa Sobat Polri\n\n-Keselamatan Untuk Kemanusiaan-\n\n#PolriPromoter \n#PolriHumanis\xe2\x80\xa6'";
"2018-12-06 03:17:27,b'RT @DivHumas_Polri: Bukit Parang Endong merupakan Wisata Jogja yang menyuguhkan wisata sunset dari sebuah bukit yang lokasinya di sebelah t\xe2\x80\xa6'";
"2018-12-06 03:17:16,b'RT @PolriMultimedia: Tanamkan Tertib Berlalu Lintas Sejak Usia Dini\n\n-Polisi Sahabat Anak-\n\n#PolriPromoter \n#PolriHumanis #ThinkBeforePosti\xe2\x80\xa6'";
"2018-12-06 03:17:12,b'RT @PolriMultimedia: Memberikan Literasi Kepada Generasi Bangsa\n\n-Polisi Sahabat Anak-\n\n#PolriPromoter \n#PolriHumanis #ThinkBeforePosting @\xe2\x80\xa6'";
"2018-12-06 03:17:06,b'RT @DivHumas_Polri: Patuhi Batas Kecepatan Berkendara\n\n#PolriPromoter #PolriHumanis @PolriMultimedia https://t.co/t3dWk9sHGd'";
"2018-12-06 03:17:04,b'RT @PolriMultimedia: Pakailah Helm Sampai Berbunyi Klik\n\n-Keselamatan Untuk Kemanusiaan-\n\n#PolriPromoter \n#PolriHumanis #ThinkBeforePosting\xe2\x80\xa6'";
"2018-12-06 03:16:56,b'RT @PolriMultimedia: Tanamkan Minat Membaca Sejak Usia Dini\n\n-Polisi Sahabat Anak-\n\n#PolriPromoter \n#PolriHumanis #ThinkBeforePosting @DivH\xe2\x80\xa6'";
"2018-12-06 03:16:54,b'RT @DivHumas_Polri: Kebersihan Sebagian Dari Iman\n\n#PolriPromoter #PolriHumanis @PolriMultimedia https://t.co/1Mc4CHzxDQ'";
"2018-12-06 03:16:50,b'RT @PolriMultimedia: Kami Peduli Dengan Masyarakat\n\n-Polri Promoter-\n\n#PolriPromoter \n#PolriHumanis #ThinkBeforePosting @DivHumas_Polri \n@H\xe2\x80\xa6'";
"2018-12-06 03:16:43,b'RT @PolriMultimedia: Kami Hadir Membantu Masyarakat\n\n-Polri Promoter-\n\n#PolriPromoter \n#PolriHumanis #ThinkBeforePosting @DivHumas_Polri ht\xe2\x80\xa6'";
"2018-12-06 03:16:28,b'@jokowi  @DivHumas_Polri @Puspen_TNI saatNYA untk satukan kekuatan atasi gangguan keamanan di seluruh wilayah NKRI.\xe2\x80\xa6 https://t.co/EO5NXilAmV'";
"2018-12-06 03:16:27,b'RT @PolriMultimedia: Perhatikan Keselamatan Saat Berpapasan\n\n#PolriPromoter \n#PolriHumanis #ThinkBeforePosting @DivHumas_Polri https://t.co\xe2\x80\xa6'";
"2018-12-06 03:16:24,""b'RT @DivHumas_Polri: Jangan mudah percaya berita/informasi yang belum jelas kebenarannya yaa Sobat Polri\xe2\x98\xba\xef\xb8\x8f\n\nBe Smart Netizen, biasakan SARIN\xe2\x80\xa6'""";
"2018-12-06 03:16:19,b'UP!!!\n\nTANGKAP ANTAR KE POLISI\n\nPENGHINA HRS INI\n@DivHumas_Polri \n@hilmi_fpi \n@PejuangFPI \n@LembagaF https://t.co/liAyYpg72g'";
"2018-12-06 03:16:02,b'RT @DivHumas_Polri: Pemuda Milenial Anti Hoax\n\nMari Kita Wujudkan Pileg dan Pilpres 2019 Aman Damai dan Sejuk\n\n#PolriPromoter #PolriHumanis\xe2\x80\xa6'";
"2018-12-06 03:15:59,b'RT @PolriMultimedia: Polisi Sahabat Anak\n\n#PolriPromoter \n#PolriHumanis #ThinkBeforePosting @DivHumas_Polri https://t.co/audbDoZbBN'";
"2018-12-06 03:15:32,b'RT @PolriMultimedia: Pakailah Helm Untuk Menjaga Kamu Saat Berkendara\n\n-Keselamatan Untuk Kemanusiaan-\n\n#PolriPromoter \n#PolriHumanis #Thin\xe2\x80\xa6'";
"2018-12-06 03:15:30,""b'waduh keduluan sama iphone nih, pak @DivHumas_Polri https://t.co/RC4Luv6wlv'""";
"2018-12-06 03:13:44,b'RT @DivHumas_Polri: Membantu Masyarakat Dengan Sepenuh Hati\n\n#PolriPromoter #PolriHumanis @PolriMultimedia https://t.co/oW2gOZCdN2'";
